env,metric,rho,p,lo95,hi95,n_lakes,q
pH,amg_frac_rpkm,0.6499440010982415,4.2520208149806876e-06,0.44603149778470197,0.7835475778619577,41,8.504041629961375e-06
pH,amg_frac_rich,0.657232760410339,3.0434649295573323e-06,0.43743103811395057,0.7942478335193022,41,8.504041629961375e-06
salinity,amg_frac_rpkm,-0.4970065520200422,0.0009476618282701953,-0.7324717054571863,-0.2138951227403389,41,0.0012635491043602603
salinity,amg_frac_rich,-0.3516887196856503,0.024143498311428545,-0.6127010039944588,-0.04942754480394544,41,0.024143498311428545
