Contig	220804_BK_C1_DNA_brine_C_sorted RPKM	220805_BK_F1_DNA_brine_sorted RPKM	220805_BK_F3_DNA_brine_C_sorted RPKM	220805_MW_S1_DNA_Brine_sorted RPKM	220805_MW_S2_DNA_Brine_B_sorted RPKM	220805_MW_S3_DNA_Brine_sorted RPKM	220805_MW_S4_DNA_Brine_sorted RPKM	220806_BK_F5_DNA_brine_A_sorted RPKM	220806_BK_F6D_DNA_brine_sorted RPKM	220806_BK_F6E_DNA_brine_sorted RPKM	220806_MW_S5_DNA_Brine_A_sorted RPKM	220806_MW_S6_DNA_Brine_sorted RPKM	220807_BK_F8_DNA_brine_C_sorted RPKM	220807_MW_S7_DNA_Brine_B_sorted RPKM	220807_MW_S8_DNA_Brine_A_sorted RPKM	220808_BK_F10_DNA_brine_B_sorted RPKM	220808_BK_F11_DNA_brine_A_sorted RPKM	220808_BK_F12_DNA_brine_C_sorted RPKM	220808_BK_F13_DNA_brine_C_sorted RPKM	220808_BK_F14_DNA_brine_C_sorted RPKM	220808_BK_F15_DNA_brine_B_sorted RPKM	220808_BK_F9_DNA_brine_A_sorted RPKM	220809_MW_F8_DNA_BrineA_A_sorted RPKM	220809_MW_F8_DNA_BrineB_A_sorted RPKM	220809_MW_S9_DNA_BrineA_A_sorted RPKM	220809_MW_S9_DNA_BrineB_A_sorted RPKM	220809_MW_S9_DNA_BrineC_A_sorted RPKM	220811_JW_F17_DNA_Brine_A_sorted RPKM	220811_JW_F18_DNA_Brine_B_sorted RPKM	220811_JW_F19_DNA_Brine_A_sorted RPKM	220811_JW_F20_DNA_Brine_A_sorted RPKM	220811_JW_F21_DNA_Brine_sorted RPKM	220811_MW_F13_DNA_Brine_B_sorted RPKM	220811_MW_F14_DNA_Brine_C_sorted RPKM	220812_MW_F10_DNA_Brine_B_sorted RPKM	220812_MW_F11_DNA_Brine_A_sorted RPKM	220812_MW_F12_DNA_Brine_B_sorted RPKM	220812_MW_F9_DNA_Brine_sorted RPKM	220813_JW_F23_DNA_Brine_A_sorted RPKM	220813_JW_F25_DNA_Brine_A_sorted RPKM	220813_LF_F9_DNA_Brine_sorted RPKM	220814_MW_F9_DNA_Brine_C_sorted RPKM	220815_LF_B1_DNA_brine_A_sorted RPKM	220815_LF_B2_DNA_brine_B_sorted RPKM	220815_LF_B3_DNA_brine_A_sorted RPKM	220816_LF_B4_DNA_brine_C_sorted RPKM	220816_LF_B5_DNA_brine_C_sorted RPKM	220816_LF_B6_DNA_brine_A_sorted RPKM	220816_LF_B7_DNA_brine_B_sorted RPKM	220817_LF_B8_DNA_brine_C_sorted RPKM
NODE_1590_length_9955_cov_9.660404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.85907	0	0	0	0	0	0
NODE_1591_length_4701_cov_3.851485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.984608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1592_length_4881_cov_9.375052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540.2447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1592_length_6140_cov_9.062942	0	0	0	211.64075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279.71036	0	0	0	0	0	0	0	0	0	0	0	0	0	274.4774	0	0	0	0	199.092	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1592_length_7824_cov_9.999356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.17586
NODE_1593_length_7666_cov_6.774011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.52922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1593_length_7823_cov_105.997425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284.09244	0	0	0	0	0	841.67194
NODE_1594_length_7936_cov_5.896333	0	0	0	0	0	0	748.5764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1595_length_3831_cov_6.771451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228.4746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.77121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1595_length_5289_cov_5.491784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249.5917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1596_length_6277_cov_14.966088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145.46796	125.29747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1596_length_7935_cov_6.107741	0	0	0	0	0	0	743.1455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1597_length_3830_cov_6.498808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.565603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.051445	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1597_length_5427_cov_6.645011	0	0	0	0	0	0	163.59262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.50846	88.93336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1598_length_6272_cov_81.157954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	505.19196	541.9691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1598_length_7818_cov_14.936494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.82152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.26917
NODE_1599_length_11082_cov_10.195701	0	0	0	0	0	0	0	0	0	420.10315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_159_length_27491_cov_9.072095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.031876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120.02442	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_159_length_36448_cov_58.959305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239.72595	0
NODE_15_length_48691_cov_30.165824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232.69572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317.2861	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1600_length_6030_cov_22.405021	7096.9014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1600_length_6905_cov_7.811241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.5747	71.323845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1601_length_4922_cov_89.188412	0	0	0	0	0	0	0	0	0	0	0	815.58923	67.48571	0	0	0	0	0	0	0	0	0	78.03517	94.0556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1601_length_7438_cov_7.651497	0	0	0	0	0	0	0	0	0	0	0	0	33.318356	0	0	0	0	0	0	0	0	0	81.69218	62.240074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1602_length_6243_cov_13.402715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.50359	148.10745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1602_length_7806_cov_20.635144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223.8691
NODE_1602_length_8021_cov_5.621893	0	0	0	0	0	0	0	0	1026.4746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1602_length_9897_cov_13.133306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.751724	0	0	0	0	0	0
NODE_1604_length_4688_cov_28.039068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248.78369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1605_length_6477_cov_6.212706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.201097	0	0	0
NODE_1605_length_9877_cov_30.902566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.76553	110.957954	0	0	0	0	0	0	0	0	0	0	0	0	0	121.47002	0	0	0	0	0	0
NODE_1606_length_6890_cov_10.339576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510.53482	0	0	0	0	0	0	0	0	0	0	0	0	0	193.6083	0	0	0	122.829346	0	0	0	0	0	0	0	397.82147	954.40845	0	0	0
NODE_1606_length_7427_cov_57.379680	0	0	0	0	0	0	0	0	0	0	0	0	366.34372	0	0	0	0	0	0	0	0	0	250.92699	294.42047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1606_length_7631_cov_5.781415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.09397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.84511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1607_length_4911_cov_6.728583	0	0	0	0	0	0	0	0	0	0	0	65.49295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1608_length_9868_cov_23.171201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.70189	0	0	0	0	0	0
NODE_1609_length_4684_cov_4.366386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.759865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1609_length_7624_cov_8.165808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.08967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1609_length_7773_cov_12.788546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.49019
NODE_160_length_26150_cov_17.673539	0	0	0	0	0	0	0	0	0	0	0	0	39.540333	0	0	0	0	0	0	0	0	0	148.05989	83.30603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1611_length_4683_cov_3.768366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.12292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1611_length_6227_cov_24.820804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237.7522	262.81198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1611_length_6451_cov_6.621795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.674606	30.17078	0	0	0
NODE_1611_length_7761_cov_11.323514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279.28156	0	0	0	0	0	123.70885
NODE_1612_length_4682_cov_7.887400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.095535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1613_length_3810_cov_11.276964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.98883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.221535	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1614_length_5244_cov_10.055695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.29178	0	0	0	0
NODE_1614_length_6224_cov_14.467499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.96573	138.79372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1614_length_7359_cov_7.594880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495.79742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1614_length_7610_cov_70.300993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326.03323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825.15564	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1615_length_4672_cov_6.898635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.93492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1616_length_4671_cov_23.005199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219.28787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1616_length_5239_cov_80.095486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.49317	0	0	0	0	0	0	0	0	0	0	0	0	0	494.82434	0	0	0	0	0	0	0	0	0	0	0	1025.8025	90.39045	0	0	0
NODE_1617_length_6417_cov_10.192078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.226112	0	0	0
NODE_1618_length_6545_cov_6.660092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.31595	76.96871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_161_length_22029_cov_81.374352	0	0	0	0	0	0	0	0	0	0	0	783.0744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1620_length_9811_cov_11.000410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.83477	0	0	0	0	0	0
NODE_1621_length_3793_cov_55.500803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305.73926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342.90845	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1621_length_6412_cov_16.285984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.663881	0	31.152252	34.472996	0	0	0
NODE_1621_length_6540_cov_6.381342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.05025	65.7621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1621_length_7596_cov_8.877470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.965225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.4153	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1622_length_4889_cov_21.020894	0	0	0	0	0	0	0	0	0	0	0	201.29593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1622_length_5244_cov_11.613991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573.7926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1622_length_6202_cov_10.945177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.35417	109.73603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1622_length_6409_cov_12.461284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.937157	0	0	43.23842	0	0	0
NODE_1623_length_5244_cov_7.229139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334.84552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1623_length_5359_cov_7.913273	0	0	0	0	0	0	0	0	0	0	0	0	133.2917	0	0	0	0	0	0	0	0	0	50.239384	90.368164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1623_length_6399_cov_9.216267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.17529	0	0	0
NODE_1623_length_6841_cov_17.219570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.34349	0	0	0	0	0	0	0	0	0	0	0	0	0	177.60995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1624_length_8008_cov_12.477681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.95087	0	0	0	0	0	0	0	0	0	0	0	0	0	163.01974	0	0	0	0	0	0	0	0	0	0	0	287.61224	0	0	0	0	0
NODE_1625_length_4831_cov_6.355528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371.8014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1625_length_6393_cov_10.258757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195.2182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.253685	0	0	0
NODE_1625_length_7582_cov_10.465391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.052765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.34143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1625_length_7853_cov_47.216850	0	0	0	0	0	0	5296.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1425.3083	1443.5231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1626_length_5212_cov_6.317433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.97405	0	0	0	0
NODE_1626_length_6844_cov_8.004419	0	0	0	0	0	0	0	0	0	0	0	0	36.36224	0	0	0	0	0	0	0	0	0	109.53433	82.99335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1626_length_7995_cov_7.373048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.94781	0	0	0	0	0	0	0	0	0	0	0	0	0	523.3898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1627_length_3790_cov_10.638554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.49501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.70103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1627_length_7707_cov_133.505881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1317.0497
NODE_1628_length_4829_cov_9.289066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605.41675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1628_length_5255_cov_11.266923	0	0	0	377.53192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	699.19055	0	0	0	0	0	0	0	0	0	0	0	0	0	389.02676	0	0	0	291.07483	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1628_length_6385_cov_6.223539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.677692	26.17655	0	0	0
NODE_1628_length_7578_cov_6.342682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.482037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1629_length_6052_cov_38.787560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1615.6683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1758.1907	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1629_length_6822_cov_7.169647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.624447	0	0	0	0	0	0	0	0	0	0	0	0	0	131.45816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1630_length_6185_cov_39.198206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353.96848	374.93207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1631_length_6379_cov_47.439437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197.81317	0	0	0
NODE_1631_length_6513_cov_8.147414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.749306	74.94305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1632_length_5200_cov_19.528669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361.876	0	0	0	169.69939
NODE_1632_length_5242_cov_25.126663	0	0	0	1031.3258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5780.5396	0	0	0	0	0	0	0	0	0	0	0	0	0	3662.916	0	0	0	1223.3936	0	0	0	0	0	0	0	1553.2468	5262.9033	0	0	0
NODE_1632_length_7564_cov_24.477960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250.4583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1634_length_4867_cov_382.166459	0	0	0	0	0	0	0	0	0	0	0	5014.0225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1636_length_5317_cov_5.339225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.746315	51.870422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1637_length_4863_cov_95.504368	0	0	0	0	0	0	0	0	0	0	0	878.324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1637_length_5192_cov_9.168776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.4693	0	0	0	0
NODE_1637_length_7656_cov_32.880542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322.2554
NODE_1638_length_6797_cov_19.475823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.09862	0	0	0	0	0	0	0	0	0	0	0	0	0	178.52325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1639_length_5199_cov_6.869168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315.1738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_163_length_30809_cov_18.459908|provirus_10730_30581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.64813	181.85213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.157623	0
NODE_163_length_35801_cov_12.458681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.09218	0
NODE_163_length_6469_cov_29.321017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5981.1064	0	0
