Contig	240111_N1_DNA_S12_L002_sorted RPKM	240111_N1_DNA_S1_L001_sorted RPKM	240111_N2_VIROME_S26_L001_sorted RPKM	240111_N2_VIROME_S37_L002_sorted RPKM	240111_N3A_sed_DNA_S24_L001_sorted RPKM	240111_N3A_sed_DNA_S35_L002_sorted RPKM	240111_N3B_DNA_S4_L001_sorted RPKM	240111_N3B_VIROME_S28_L001_sorted RPKM	240111_N3_DNA_S14_L002_sorted RPKM	240111_N3_DNA_S3_L001_sorted RPKM	240113_N4_DNA_S6_L001_sorted RPKM	240113_N4_VIROME_S29_L001_sorted RPKM	240113_N5_DNA_S7_L001_sorted RPKM	240113_N5_VIROME_S30_L001_sorted RPKM	240114_N7A_VIROME_S31_L001_sorted RPKM	240114_N7A_VIROME_S43_L002_sorted RPKM	240114_N7B_DNA_S20_L002_sorted RPKM	240114_N7B_DNA_S9_L001_sorted RPKM	240114_N7B_VIROME_S32_L001_sorted RPKM	240114_N9_DNA_S11_L001_sorted RPKM	240114_N9_DNA_S22_L002_sorted RPKM	240114_N9_mat_DNA_S21_L001_sorted RPKM	240114_N9_VIROME_S34_L001_sorted RPKM	240115_N10_DNA_S12_L001_sorted RPKM	240115_N10_DNA_S23_L002_sorted RPKM	240115_N10_VIROME_S35_L001_sorted RPKM	240115_N11_mat_DNA_S22_L001_sorted RPKM	240115_N9_mat_DNA_S23_L001_sorted RPKM	240116_N11_DNA_S13_L001_sorted RPKM	240116_N11_VIROME_S36_L001_sorted RPKM	240116_N12_DNA_S14_L001_sorted RPKM	240116_N12_VIROME_S37_L001_sorted RPKM	240116_N13_DNA_S15_L001_sorted RPKM	240116_N13_VIROME_S38_L001_sorted RPKM	240117_GW01_DNA_S18_L001_sorted RPKM	240117_GW01_VIROME_S41_L001_sorted RPKM	240117_N14_VIROME_S39_L001_sorted RPKM	240117_N14_VIROME_S51_L002_sorted RPKM	240117_N15_DNA_S17_L001_sorted RPKM	240117_N15_DNA_S28_L002_sorted RPKM	240117_N15_VIROME_S52_L002_sorted RPKM	240119_GW02_VIROME_S42_L001_sorted RPKM	240119_GW02_VIROME_S54_L002_sorted RPKM	240119_GW03_DNA_S20_L001_sorted RPKM	240120_N3C_DNA_S5_L001_sorted RPKM	240120_N3C_VIROME_1_S38_L002_sorted RPKM	240120_N3C_VIROME_S27_L001_sorted RPKM
genomad_k141_186529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.957882	36.321068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_959690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.513584	50.89044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1910802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.014214	51.21084	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3516641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.789321	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_305271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.15734	202.16777	0	67.98842	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2029918	0	0	0	0	3489.757	3482.0947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1197289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.37026	81.845345	37.056576	58.556076	0	36.955654	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2981985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.255905	103.719	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1435610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278.4682	1202.0579	0	552.938	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1732502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.22167	56.677017	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_662379	5070.0117	5242.1187	0	0	0	0	0	0	1276.5168	1335.542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1256396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.51125	8.466846	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_781520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.14384	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3338688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203.13525	72.172844	0	52.417572	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1732529	0	0	0	0	0	0	0	187.34987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.98059	113.56992	0	12.488611	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1851453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.19047	35.12943	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1256418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.88736	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1613820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.606	20.009224	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1197351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.444223	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1910885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.38269	12.638615	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1079057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.01584	21.05765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2922122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.9129	222.76398	0	113.35303	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_305389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.184998	3.9749594	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1673155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.354765	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2565544	0	0	0	0	0	0	0	0	0	0	0	0	42.940453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3755739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.185349	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_484561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.16397	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3636291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.647488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3755826	0	0	0	0	0	655.88556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.544374	113.71117	236.77473	0	34.742462	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_781659	0	0	0	0	0	0	0	147.24205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.79778	225.88725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_67937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.691919	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_305510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.214165	49.74189	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3636406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.88338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3695986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.44788	73.84271	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3219638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.715977	0	15.5603485	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1851687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.823875	179.67612	0	12.233946	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2803027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2148919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.7133	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_8649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.593365	64.43109	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2506071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.379982	19.729818	72.171326	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1792748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.703043	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2327825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.52349	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_305597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.242508	21.910799	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_722909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202.38062	37.164524	164.60234	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_841108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.387083	0	10.932473	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2387289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.905376	17.234371	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2148983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.79703	44.24793	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3576825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.784327	31.66856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3219756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.076836	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3636509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.72661	0	5.5912967	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3279467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201.2511	133.41249	0	55.407814	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_781835	0	0	0	0	0	0	0	157.54218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.59599	26.540213	123.95213	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1376474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.83517	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2625290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.308655	14.42653	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2089768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.453494	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1435887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.60751	5.3259497	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2327916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617.0563	729.38654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1137.4281	1105.2656	0	0	0	0	0	0	0
genomad_k141_246648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.901742	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1376509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.487748	5.9768167	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1970980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252.97002	105.792366	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_781888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.14547	15.920654	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3339038	0	0	0	0	0	0	0	0	0	0	0	0	272.72263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2327933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.618954	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1079380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.682068	24.244421	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2625297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.30814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3279535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.947311	0	10.322191	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1435938	0	0	0	0	0	0	0	0	0	0	0	0	111.995674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2387473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.905777	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_900678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.393638	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_603348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.565686	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1435967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.880143	51.54681	52.43702	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_365989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.693947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_543474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.118706	189.7495	0	87.946655	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_8921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.27295	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_484892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.742623	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2089883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.675866	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_723148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.1323	18.089127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_305858	0	0	0	0	2736.3816	2660.884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1495390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.323044	16.865747	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1971077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.194412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2625447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.657707	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1732946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.13134	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2387610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.14636	76.046974	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1614436	0	0	0	0	0	0	0	0	0	0	11291.602	0	0	0	0	0	587.5168	663.9463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_426058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.66545	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1317022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8306527	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1079647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.77992	184.99715	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1257095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.988673	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1436134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2599.8518	2682.5408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2209091	1686.2621	1799.8936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8109.2754	8126.2227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2922703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	737.9593	343.38123	0	124.391136	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_663120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.25093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1555169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.57491	90.22719	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3756536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.4929	6.3863225	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_128220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.55089	0	34.868355	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1673590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.534737	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2863316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.51497	84.503685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1198060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342.13318	521.5595	0	164.94316	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_247090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256.69073	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1138734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.07744	56.511013	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2209283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104.49623	25.675327	103.52962	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1376987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333.93768	277.81262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_603725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.269844	89.37114	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1555339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.692335	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_723506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.37289	12.069916	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1198192	0	0	0	0	0	0	0	0	0	0	0	0	56.992443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2744275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.111595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_306243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.758537	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2149656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.830727	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3339582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.858215	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_723532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.799715	21.224287	2.7150657	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2566400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.803883	35.247887	0	20.43805	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1911746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4535.564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_663384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.97939	617.1226	0	125.030334	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2030893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.082523	13.535278	45.339573	83.98773	0	0	0	0	0	0	0	0	0	0	0	0	0
