Contig	240111_N1_DNA_S12_L002_map_sorted_plasmid RPKM	240111_N1_DNA_S1_L001_map_sorted_plasmid RPKM	240111_N2_VIROME_S26_L001_map_sorted_plasmid RPKM	240111_N2_VIROME_S37_L002_map_sorted_plasmid RPKM	240111_N3A_sed_DNA_S24_L001_map_sorted_plasmid RPKM	240111_N3A_sed_DNA_S35_L002_map_sorted_plasmid RPKM	240111_N3B_DNA_S4_L001_map_sorted_plasmid RPKM	240111_N3B_VIROME_S28_L001_map_sorted_plasmid RPKM	240111_N3_DNA_S14_L002_map_sorted_plasmid RPKM	240111_N3_DNA_S3_L001_map_sorted_plasmid RPKM	240113_N4_DNA_S6_L001_map_sorted_plasmid RPKM	240113_N4_VIROME_S29_L001_map_sorted_plasmid RPKM	240113_N5_DNA_S7_L001_map_sorted_plasmid RPKM	240113_N5_VIROME_S30_L001_map_sorted_plasmid RPKM	240114_N7A_VIROME_S31_L001_map_sorted_plasmid RPKM	240114_N7A_VIROME_S43_L002_map_sorted_plasmid RPKM	240114_N7B_DNA_S20_L002_map_sorted_plasmid RPKM	240114_N7B_DNA_S9_L001_map_sorted_plasmid RPKM	240114_N7B_VIROME_S32_L001_map_sorted_plasmid RPKM	240114_N9_DNA_S11_L001_map_sorted_plasmid RPKM	240114_N9_DNA_S22_L002_map_sorted_plasmid RPKM	240114_N9_mat_DNA_S21_L001_map_sorted_plasmid RPKM	240114_N9_VIROME_S34_L001_map_sorted_plasmid RPKM	240115_N10_DNA_S12_L001_map_sorted_plasmid RPKM	240115_N10_DNA_S23_L002_map_sorted_plasmid RPKM	240115_N10_VIROME_S35_L001_map_sorted_plasmid RPKM	240115_N11_mat_DNA_S22_L001_map_sorted_plasmid RPKM	240115_N9_mat_DNA_S23_L001_map_sorted_plasmid RPKM	240116_N11_DNA_S13_L001_map_sorted_plasmid RPKM	240116_N11_VIROME_S36_L001_map_sorted_plasmid RPKM	240116_N12_DNA_S14_L001_map_sorted_plasmid RPKM	240116_N12_VIROME_S37_L001_map_sorted_plasmid RPKM	240116_N13_DNA_S15_L001_map_sorted_plasmid RPKM	240116_N13_VIROME_S38_L001_map_sorted_plasmid RPKM	240117_GW01_DNA_S18_L001_map_sorted_plasmid RPKM	240117_GW01_VIROME_S41_L001_map_sorted_plasmid RPKM	240117_N14_VIROME_S39_L001_map_sorted_plasmid RPKM	240117_N14_VIROME_S51_L002_map_sorted_plasmid RPKM	240117_N15_DNA_S17_L001_map_sorted_plasmid RPKM	240117_N15_DNA_S28_L002_map_sorted_plasmid RPKM	240117_N15_VIROME_S52_L002_map_sorted_plasmid RPKM	240119_GW02_VIROME_S42_L001_map_sorted_plasmid RPKM	240119_GW02_VIROME_S54_L002_map_sorted_plasmid RPKM	240119_GW03_DNA_S20_L001_map_sorted_plasmid RPKM	240120_N3C_DNA_S5_L001_map_sorted_plasmid RPKM	240120_N3C_VIROME_1_S38_L002_map_sorted_plasmid RPKM	240120_N3C_VIROME_S27_L001_map_sorted_plasmid RPKM
k141_3150952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.983501	0	0	0	0	14.449463	18.14275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_3448215	14.7805805	13.943008	0.08133862	0	0	0	0	0	11.353285	7.867813	9.677186	0	11.911112	0	0	0	3.8248377	4.335689	0	0	0	0	0	0	0	0.039824646	0	0	0	0	0.31753507	0	0	0	0	0	0	0	9.252315	9.286754	0	0	0	0	0	0	0
k141_891798	0	0	0	0	0.59547997	0.5995373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45404676	0	72.96999	1.8784072	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2318665	13.87894	12.569097	0.047545835	0	5.8423176	2.9410625	0	0	18.457685	25.933626	18.682226	0.045763396	19.417402	0	0	0	8.130102	8.447974	0	0	0	0	0	1.5046338	0	0.65181684	0	0.58037114	0.27255914	0.5445133	0	0	0	0	0	0	75.357834	89.17985	16.48264	18.067362	0	0	0	0	0	0	0
k141_3567132	20.47819	21.973888	0	0	0	0	0	0	48.84067	48.187225	23.064411	0.22359683	6.6328197	0	0	0	14.935893	16.510489	0	0	0	0	0	0	0	0.2274809	0	0	0	0	0	0	0	0	0	0	26.816385	33.32027	14.177173	12.876943	0	0	0	0	0	0	0
k141_2853733	0	0	0	0	0	0	0	0	0	0	0	0	2.9660614	0	0	0	41.2246	36.631237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1961934	0	0	0	0	1.0155085	1.0224278	0	0	0	0	0	0	51.74138	0	0	0	0.15544872	0.23075211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1486327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.505184	0	0	0	0	47.708954	3.9399538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2259232	65.75563	58.079487	0.19498849	0.12009507	11.979857	26.133215	0	0	97.80962	108.97506	117.13621	0.041706357	30.70534	0	0	0	47.790295	43.77454	0	0	0	0.17565277	0.01953342	4.799355	5.0586247	0.33944666	0	0	2.732357	0	2.0298905	0	0.73547566	0	1.842835	0	20.64285	31.67289	56.09559	56.04362	0	0.04779797	0	1.2504345	0	0	0
k141_237865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.675789	0	0	0	0	0	6.8591523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2556491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.690658	0	0	0	0	58.490555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_713468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22190166	0.17595287	0	0	0	0	0	0	0	0	0	0	0.7891161	0	0	0	17.035429	50.08457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1129612	32.327038	30.709644	0.36156574	0.21921185	27.767706	43.333202	0	0	34.597855	31.087946	45.305412	0.13050416	33.615303	0	0	0	24.189405	22.714571	0	0	0	1.4657025	0	7.866442	5.276346	0.42044196	0	2.2067373	1.5545218	8.79918	2.1172564	0	2.1309178	2.919721	0	0	7.039083	13.713092	25.868404	26.628077	0	0	0	0	0	0	0
k141_1486351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3777232	0	0	0	0	0	0.13240069	238.70595	9.316528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2437590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1190193	0	1.7165685	0	36.238438	22.628365	34.44864	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_713480	157.47444	155.29688	0.20657593	0.45326355	15.86472	11.180971	0	0	111.50636	119.61392	106.24196	0.6959107	139.34076	0	0	0	67.93878	65.63122	0	0	0	0.09304558	0.124165304	21.790983	19.427244	0.7754279	0	0	1.578944	0.3942979	2.6881492	1.846417	0.06493186	0	1.4642608	0	64.0316	55.080997	276.63144	276.30554	0	0	0	0	0	0	0.015823439
k141_3329375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.61377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2318677	16.294456	19.231697	0	0	0	0	0	0	0.2493557	0.3754737	2.2100809	0	0	0	0	0	110.21057	115.11776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1239351	1.1072047	0	0	0	0	0	0	0
k141_3091598	63.744404	64.253975	0	0.12908347	0	1.4404683	0	0	5.5866227	4.880466	3.4019268	0	102.82966	0	0	0	6.1321983	4.846943	0	0	0	0	0	0	0	0	0	0	0.26698706	0	0	0	0.1756715	0	0	0	2.5601363	1.2846574	116.80388	115.93003	0	0	0	0	0	0	0
k141_2913233	12.48949	13.963797	0	0	0	0.4646984	0	0	9.502812	10.011885	7.0782914	0.057846244	3.3893526	0	0	0	7.4505944	7.3986616	0	0	0	0	0	0	1.7540637	0.058851086	0	0	0	0	0	0	0.056672025	0	0	0	8.809662	5.8020673	28.376192	31.113699	0	0	0	0	0	0	0
k141_2378180	21.499722	23.023977	0	0	3.2537887	0	0	0	57.75125	50.516098	35.567398	0	5.439576	0	0	0	23.001911	20.63465	0	0	0	0	0	1.6759652	1.0304606	0.31115946	0	0	0	0	0.20674811	0	0.14981914	0	0	0	0.24259761	1.4608042	18.837618	16.893654	0	0	0	0	0	0	0
k141_2080911	0	0	0	0	0	0	0	0	0	0	0	0	33.894863	0	0	0	0	0	0	0	0	0.50711983	0	0	0	0	0.32575965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_3032163	11.076315	11.542429	0	0.26033187	0	0	0	0	14.749452	13.754662	13.352262	0.045203745	9.903454	0	0	0	9.556506	7.629405	0	0	3.1702507	0	0	0	0	0.13796693	0	0	0.53845185	0.53785425	0	0.45793858	0	0	1.9973704	0	18.071234	20.726881	29.848629	24.804876	0	0	0	0	0	0	0
k141_1367525	0	0	0	0	0	0	0	0.7819425	0	0	0	1.8103057	0	0	0	0	0	0	0	0	0	0.7159045	0	0	0	0	0	0	0	0	5.791229	117.139595	0	0	0	0	0	0	0	0	0	2.9367492	2.4965644	0	0	0.864707	0.19479607
k141_1248589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8960284	0	0	0	0	0	0	0.52267957	0	80.63758	23.276926	19.696743	0.26773712	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_178458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015862903	0	0	0.16189158	86.234085	0.89381665	0	0.055788666	0	0	0	0	0	0	0	0	0	0	0
k141_772999	0	0	0	0	75.67574	36.905197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640.0749	0	0	0	0	0	0	0	0	0	0	0	0
k141_1783688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.37848	0	0	0	0	18.538982	61.10357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_891904	18.00985	21.076357	0	0	0	0	0	0	0	0	2.269931	0	0	0	0	0	121.88854	112.714584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7065	18.322704	0	0	0	0	0	0	0
k141_2556547	0	0	0	0	0	0	0	0.05591076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.485939	4.8019795	36.93433	1.5907273	0	0	0	0	0	0	0	0	0	0	0	0	0.0150890825
k141_594638	0	0	0	0	3.6108944	3.6354976	0	0	0	0	0	0	72.0706	0	0	0	0	0	0	0	0	11.674189	0	14.879229	6.8613267	0	14.28414	14.706839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_654129	0	0	0	0	1.7425861	7.895067	0	0	0.6185806	0.45725408	0	0	43.74433	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19695431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_773035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.761105	27.628872	23.934408	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_59585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98454	6.095305	30.852718	0	0	0	0	0	0.288173	0.18547048	0	0	0	0	0	0.029941402	0
k141_2140454	19.799198	19.17616	0.051726792	0.035841342	0	0.79992145	0	0	10.660857	7.9221888	6.782392	0	38.980267	0	0	0	4.776314	5.974052	0	0	0	0	0	0	0	0.37989357	0	0	0	0.5923952	0	0	0	0	0	0	5.2128844	6.4205675	36.93815	34.894127	0	0	0	0	0	0	0
k141_2497087	0	0	0.98427117	1.0911977	0	0	8.682135	3.5534937	0	0	0	17.734804	0	13.573982	0	0	0	0	0	0	0	0	0	0	0	15.691131	0	0	0	3.3816764	0	0	0	1.2717121	0	1.8653237	0	0	0	0	0	12.464351	13.581744	0	0	2.326576	6.6497374
k141_178512	0	0	0	0	0	0	0	1.8519306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.97944	31.81117	2.230378	0	0.8671836	0	0	0	0	0	0	0	0	0	0	0	0
k141_1367604	0	0	0	0	0	0	0	0	0	0	0	0	88.99313	0	0	0	0.13397725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_3091703	0	0	0	0	0	0	0	0	0	0	0	0	0.055674262	0	0	0	0	0	0	0	0	14.842026	0	0	0	0	48.956512	7.7950835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1783777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.122578	0	0	0	0	0	0	0	16.93302	40.572674	0	0	0	0	0	0	0	0	0	0.11127153	0	0	0	0	0
k141_2675520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.035065	38.453403	0.05164914	0	0	0	0	0	0	0	0	0	0.064930916	0	0	0	0
k141_2199970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86731684	0	88.303894	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1248656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.871848	49.7884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1308121	0	0	0	0	0	0	0	1.6550877	0	0	0	13.049566	0	0.04315725	11.839664	10.68635	0	0	0	0	0	0	0	0	0	21.594994	0	0	0	0	0	0	0	0	45.091496	0	0	0	0.09571671	0.7392485	0	18.171835	19.513002	46.65938	0	0.20884587	0.23145717
k141_773102	15.110392	14.349539	0	0	0	1.5800805	0	0	4.6796293	5.3534875	4.457001	0.19669041	43.02228	0	0	0	4.542598	4.149631	0	0	0	0	0	0	0	0	0	0	0.4392957	0	1.1966401	0	0.6744423	1.6501806	0	0	0.93608934	0	46.12119	44.4369	0	0	0	0	0	0	0
k141_1308140	3.056935	4.0576153	0	0	2.9440699	4.4461946	0	0	0	0	1.1148064	0	17.12838	0	0	0	0.49163204	0.85142326	0	0	0	0	0	0	0	0	0	0	0	0	0.7482734	0	0	0	2.0379589	0	0	1.3217545	9.690285	9.939812	0	0	0	0	0	0	0
k141_2021654	19.4811	14.949962	0	0	0	0.73164237	0	0	19.914484	21.483671	19.480417	0	13.843578	0	0	0	12.86316	11.64879	0	0	0	0	0	9.731924	7.364475	0.046328917	0	0	0.271216	0	0.7387916	0	0	0	0	0	4.334479	8.482536	12.728182	13.442512	0	0	0	0	0	0	0
k141_3091781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61574835	27.33233	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_773134	14.689481	12.456071	0.0265689	0.018409513	3.2647223	0.82174176	0	0	13.037696	10.351336	7.935476	0.051145725	11.342783	0	0	0	7.4053345	7.890445	0	0	0	0	0	2.5223954	2.5848083	0.052034177	0	0	0	0	0	0	0	0	0	0	0.24341282	2.5649977	27.535854	28.528578	0	0	0	0	0	0	0
k141_3091784	14.499015	10.37758	0	0	145.27747	102.844215	0	0	25.140556	20.350927	20.717611	0	4.5095234	0	0	0	10.424208	6.4709306	0	0	2.4940236	0	0	1.1692138	0	0.036179345	0	0	0	0	0	0	0.13935898	0	7.8566165	0	0.6769794	43.821716	12.007737	10.368771	0	0	0	3.1986103	0	0	0
k141_2259449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487.99173	0	0	0	0	0	0	0	0	0	0	0	0
k141_2021667	0	0.18396306	0	0	31.467306	20.661987	0	0	0	0	0	0	12.898208	0	0	0	0.15231144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2616225	0	0	0	0	0	0	0	0	0	0	0	0	18.505253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1902686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	759.30115	174.8927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_3210732	21.911837	19.059124	0.05015376	0.13900557	18.48832	17.0631	0	0	19.907633	30.320808	23.121572	0.096547104	6.1215096	0	0	0	16.380243	9.038656	0	0	0	0	0	3.174328	1.9517232	0	0	0	0.2875092	0	1.5663484	0.48903745	0	0	4.2660255	0	3.6758971	1.3834034	21.280626	18.97095	0	0	0	0	0	0	0
k141_3686324	0	0	0	0	0	0	0	1.3916019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7343757	39.953773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1427067	6.2855334	6.1755567	0.05806137	0.12069166	5.350831	0.89788157	0	0	9.813722	8.112326	5.959278	0	2.0643096	0	0	0	3.6237955	4.789748	0	0	0	0	0.026173938	0.45935202	0	0	0	0	0.08321001	0	0	0	0	0	1.8519896	0	4.787399	5.204943	25.946308	32.23462	0	0	0	0	0	0	0.013342269
k141_3567405	9.049818	10.693836	0.15959215	0.049147084	0	0.5484422	0	0	11.370018	9.815017	8.086943	0	27.740183	0	0	0	5.457894	4.8611035	0	0	0	0	0.031975023	1.1223218	0	0.24309847	0	0	0.20330466	0	0.27690065	0	0.13376991	0	0	0	2.5993152	7.8259025	18.569925	17.062159	0	0	0	0	0	0	0
k141_3032369	25.55198	24.873735	0	0.052484486	2.3268852	1.1713698	0	0	39.399925	38.3644	28.966238	0.0729068	13.176505	0	0	0	12.62846	11.728275	0	0	0	0.10235275	0	1.1985346	4.421486	0.03708663	0	0	0	0	0	0.36929283	0	0	0	0	7.980498	9.401998	7.5220814	9.572516	0	0	0	0	0	0	0
k141_2497250	0	0	0	0	0	0	0	0	0	0	0	0	0.021003582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.425983	41.72035	7.269686	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1605463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.434197	12.951224	64.62797	0	0	0	0	51.578777	50.35211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_238127	0	0	0	0	0	0	0	3.640916	0	0	0	0	0	0	3.0555944	3.0238857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.41249	20.847036	18.0385	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_3508064	0	0	0	0	0	0	0	0	0	0	0	0	18.530722	0	0	0	0	0	0	11.602049	22.905838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_238133	23.573969	23.031927	0.04533291	0.31411037	2.7851992	4.206265	0	0	33.41758	32.887592	27.552683	0	15.265432	0.18452817	0	0	19.53429	15.649286	0	0.8718656	1.5300603	0.24502525	0	2.8692071	2.646181	0.37732676	0	0	0.909557	0	0	2.2101521	0	0	1.9279846	0	22.427313	24.383358	33.804672	35.164093	0	0	0	0	0	0	0
k141_119212	120.56858	124.79729	0.31719664	0.3296769	9.744089	4.905241	0	0	0.86473554	0.85228205	510.67938	0	0.02160457	0	0	0	281.56848	280.08755	0	0	0	0	0	22.585482	16.972507	0	0	0	0	0	0	0	0	0	0	0	0	0	41.59372	38.427242	0	0	0	0	0	0	0
k141_1308240	0.8858164	1.1356374	0	0	11.261066	11.337795	0	0	0.73286337	1.6416113	0	0	34.69721	0	0	0	89.37563	88.085815	0	0	0	0.08255681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_59764	42.11219	43.958393	0.08330466	0.1154431	7.677207	8.373643	0	0	51.143734	54.615246	37.977085	0.040090833	75.90625	0	0	0	24.14474	21.35663	0	0	0	0.22513166	0.03755356	7.9087687	12.967134	0.6322024	0	0	0.8357101	0	1.9512613	0.609213	0.31421626	0	0	0	20.224838	18.956955	56.630104	59.535908	0	0.068919726	0.049377277	0	0	0	0
k141_3508100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.818123	52.029797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2675689	14.535524	15.492787	0.035135817	0.060863763	2.1587024	3.803469	0	0	16.705185	19.023039	15.837471	0.016909309	5.69566	0	0	0	8.951995	8.071248	0	0	0	0.047477443	0.0950349	4.725604	3.7600837	0.0430076	0	0	0.30212703	0.20119448	0.41149655	0.08565026	0.06626427	0	0	0	7.5646315	8.722438	36.351116	36.778065	0	0	0	0	0	0	0
k141_951560	0	0	0	0	2.3144944	1.1651323	0	0	0.6572766	0.40488175	0	0	141.15228	0	0	0	0.70858127	1.0518364	0	0	0	0.05090386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_3567493	0	0	0	0	16.73135	34.893936	0	0	0.1696934	0	0	0	42.7672	0	0	0	0	0.0987489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2378521	17.19665	21.80424	0.032584745	0.04515575	2.0019674	1.007804	0	0	23.238432	28.717257	14.776758	0.06272636	12.659336	0	0	0	10.196448	10.173291	0	0	0	0	0	1.0311757	0	0.19144793	0	0.19887386	0.18679386	0	0	0	0	0	0	0	8.955822	7.63974	14.178963	15.8469	0	0	0	0	0	0	0
k141_2021776	14.369002	11.61178	0.09529392	0	0	0	0	0	9.664132	13.826546	9.096085	0	6.049203	0	0	0	11.487825	10.15913	0	0	0	0.06438319	0	1.507834	0	0.093314745	0	0	0.9559859	0	0	0.6968913	0.35943845	0	0	0	3.4921672	2.6285155	52.13398	46.51029	0	0	0	0	0	0	0
k141_535428	12.399616	8.918884	0.047630075	0.0880073	1.9508896	0	0	0	31.92535	31.312	34.10638	0	4.4898767	0	0	0	13.356991	12.251116	0	0	0	0	0	19.092463	28.420557	0.124375574	0	0	0	0	0.4958438	0	0	0	0	0	4.654573	4.817238	8.02659	10.018309	0	0	0	0	0	0	0
k141_1546153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.54271	0	0	0	0	135.35223	121.13242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1546156	15.790826	14.748776	0.048912693	0.067782916	3.0051367	0	0	0	24.855482	25.233501	21.553736	0	2.1721318	0	0	0	12.378465	9.932386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44811702	1.3491707	8.478242	12.874321	0	0	0	0	0	0	0
k141_297664	0	0	0	0	0	0	0	0.33309487	0	0	0	0.07059924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.449376	77.95777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_713787	2.4072719	2.4159484	0	0	0	1.1670948	0	0	0.4114898	0.9125184	0.36793777	0	14.526586	0	0	0	0.90334976	1.5325209	0	0	0	0	0	1.1941605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.514474	9.932239	0	0	0	0	0	0	0
k141_2200206	19.283909	24.339134	0	0.032148335	2.850575	3.5874972	0	0	14.672446	21.567045	19.913406	0.044657618	26.545208	0	0	0	11.662473	12.012461	0	0	0	0.31347078	0.020915661	1.4682775	0	0.2498835	0	0	0.5319466	0.2656781	0	0	0.08750223	0	0	0	8.076315	8.958456	36.860016	29.681213	0	0	0	0	0	0	0
k141_2556884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.945623	0	0	0	0	27.252651	60.335423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1843433	9.826153	10.719584	0	0.12401295	0	4.4284334	0	0	16.706553	11.830094	12.497596	0.06890712	14.189542	0	0	0	9.181277	11.720876	0	0	0	0.09673767	0.03227306	0	3.4824352	0.017526027	0	0	0.20519964	1.6397753	0.27948162	0	0	0	0	0	6.5588574	10.860914	20.100266	19.280249	0	0	0	0	0	0	0
k141_2259660	19.369852	15.545615	0	0	0	0	0	0	5.6497107	5.3844852	5.334348	0	14.168512	0	0	0	2.3401685	3.721936	0	0	0	0	0	0	0	0.047861982	0	0	0	0	0	0	0	0	0	0	0.8955822	0	10.237092	12.950155	0	0	0	0	0	0	0
k141_3627056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.211048	45.82851	0.14531039	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_3270344	0	0	0	0	0	0	0	0	0.8133513	0.5010236	0	0	6.485717	0	0	0	0	0	0	0	0	35.317135	0	0	0	0	0	10.432256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1427236	6.5605984	4.885085	0	0.07125763	0	0	0	0	4.8222075	4.6974955	3.975816	0	2.003299	0	0	0	4.9238434	3.7850595	0	0	0	0	0	0	0	0.98186636	0	0	0	0	0	0.501385	0	0	4.373737	0	5.6530623	17.019989	25.995838	22.676657	0	0	0	0	0	0	0
k141_1665071	99.88527	103.62174	0.07126833	0	0	0	0	0	0	0	330.35504	0	0.51454043	0	0	0	146.72583	157.92574	0	0	0	0	0	7.329903	2.0800443	0	0	0	0	0	0	0	0	0	0	0	0	0	29.660646	34.970413	0	0	0	0	0	0	0
k141_1308393	65.89383	74.049385	0	0	0	0	0	0	0	0	41.294346	0	0	0	0	0	131.96877	121.796906	0	0	0	0	0	49.44533	76.8032	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5939179	0.43003163	0	0	0	0	0	0	0
k141_476122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306.20197	106.43637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1130009	0	0	1.0607877	0.97211885	0	0	0	7.5172925	0	0	0	1.5150621	0	0	0	0	0	0	0	0	0	0	1.5425831	0	0	0.13403304	0	0	0	0	290.1493	123.95505	3.6785023	0	0	1.2417977	0	0	0	0	0	1.3588836	0.7707406	0	0	0	0
k141_773312	0	0	0	0	0	0	0	0.512802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4088387	0	0	0	0	0	56.618774	0	0	0	0	0	0	0.3146855	0.6763656	1188.9005	0	0	0
k141_595002	11.06274	11.170312	0.0348941	0.096712075	0	0	0	0	8.371233	5.9067326	8.117945	0.067171924	21.209412	0	0	0	5.847384	5.402862	0	0	0	0.3772066	0	0	0	0.2904397	0.48461398	0	0	0.3996207	0.8173313	0	0.46065882	0	0	0	6.0740094	4.8124623	21.358206	18.42979	0	0	0	0	0	0	0
